"시간대:","","","","","","","합계","","4","","5","","6","","7","","8","","9","","10","","11","","12","","13","","14","","15","","16","","17","","18","","19","","20","","21","","22","","23","","0",""
"시도코드","시도","시군구","읍면동","월","이용자유형","교통수단","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량"
"합계","","","","","","","2,864,590","2,032,840","2,252","4","10,610","2,111","84,585","41,629","194,635","109,966","204,285","151,237","155,963","120,363","148,944","113,337","158,144","120,840","179,396","131,131","197,819","146,099","196,236","140,022","217,778","151,790","244,946","157,841","241,703","160,636","221,889","163,680","135,532","112,015","112,384","82,238","96,657","69,464","55,366","45,608","5,385","10,734","81","2,095"
"","","","","","외국인","도시철도","30","24","0","0","2","0","0","0","1","0","0","0","3","0","1","2","1","2","2","2","1","2","3","0","2","2","1","1","3","3","2","2","0","2","5","5","1","0","0","1","2","0","0","0"
"","","","","","일반인","도시철도","95,945","96,283","656","1","2,927","404","5,914","1,696","8,923","4,210","7,531","6,042","4,240","5,169","3,831","3,013","3,949","3,869","4,150","4,488","4,710","5,445","5,231","4,715","5,527","4,738","6,143","5,601","8,123","7,003","8,332","11,316","4,929","8,184","4,149","7,175","3,303","5,238","2,391","4,433","973","2,911","13","632"
"","","","","","","시내","183,332","128,449","0","0","7","0","4,829","2,213","11,390","5,225","16,458","8,998","12,241","6,746","10,378","5,596","9,861","6,166","10,847","7,070","12,261","7,597","11,830","8,134","12,174","9,739","13,651","10,409","13,636","11,369","14,335","13,498","9,056","9,101","7,358","6,659","7,709","5,712","5,110","4,049","201","168","0","0"
"","","","","","장애인","도시철도","3,059","3,016","34","0","147","24","277","107","244","221","219","207","141","197","178","177","115","143","153","180","166","197","219","156","177","163","187","185","165","215","330","307","113","214","74","131","58","53","37","81","25","48","0","10"
"","","","","","청소년","도시철도","4,629","4,436","8","0","19","5","59","24","517","225","210","258","132","429","136","103","154","188","240","227","281","381","251","313","294","226","332","393","585","444","480","367","237","248","201","166","231","221","204","142","57","67","1","9"
"","","","","","","시내","43,024","20,507","0","0","0","0","194","126","3,117","1,501","2,354","1,210","997","623","1,041","603","1,218","739","2,797","1,326","3,061","1,673","2,790","1,373","4,201","2,024","5,980","2,539","4,994","2,218","3,348","1,563","2,246","997","1,835","735","1,659","785","1,167","459","25","13","0","0"
"","","","목천읍","202012","경로","시내","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","687","312","0","0","0","0","2","1","77","18","51","12","8","0","33","7","26","25","40","14","66","33","58","34","107","44","138","58","44","48","12","12","11","3","1","1","13","2","0","0","0","0","0","0"
"","","","","","일반인","시내","58,773","31,770","0","0","16","1","2,083","892","5,028","2,071","5,964","2,276","5,263","1,826","4,875","2,073","4,338","2,134","4,314","2,281","4,620","2,283","3,946","2,321","4,003","2,546","3,347","2,643","3,699","2,438","2,944","2,001","1,624","1,448","1,317","1,017","921","974","461","522","10","23","0","0"
"","","","","","청소년","시내","16,015","2,974","0","0","0","0","214","31","3,988","180","1,852","163","504","35","399","41","417","67","704","138","971","252","1,031","312","1,574","406","1,764","375","1,021","321","603","198","363","156","255","121","238","118","115","55","2","5","0","0"
"","","","문화동","202012","경로","시내","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0"
"","","","","","일반인","시내","2,055","4,377","0","0","0","0","22","178","69","274","108","424","72","392","125","349","146","321","117","327","180","350","138","315","176","311","143","282","171","225","354","259","98","122","72","112","45","70","19","66","0","0","0","0"
"","","","","","청소년","시내","428","308","0","0","0","0","5","0","5","22","22","28","1","9","6","11","15","11","19","15","66","33","20","22","35","25","85","47","83","25","30","14","10","16","15","11","8","12","3","7","0","0","0","0"
"","","","백석동","202012","경로","시내","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","396","237","0","0","0","0","0","0","2","2","6","4","6","7","7","12","27","16","32","10","59","27","59","23","47","42","46","36","46","25","42","16","11","8","5","8","1","1","0","0","0","0","0","0"
"","","","","","일반인","시내","74,827","49,932","0","0","6","1","2,352","1,538","4,861","3,726","6,992","5,149","4,885","3,104","4,014","2,175","4,332","2,536","4,047","2,464","4,890","3,123","4,809","2,953","5,549","3,347","5,627","3,722","6,246","3,506","6,543","4,292","3,256","3,009","2,926","2,250","2,360","1,721","1,115","1,192","17","124","0","0"
"","","","","","청소년","시내","14,245","6,422","0","0","0","0","104","32","1,820","213","1,199","304","473","156","376","151","437","186","811","410","1,052","525","1,100","396","1,413","655","1,344","818","1,359","897","1,051","507","557","396","457","297","456","316","230","156","6","7","0","0"
