"","RC1","RC2","RC3","sigun"
"79",2.02975941800915,-1.01831338989932,0.460320054104714,"송파구"
"80",4.19491770350292,-0.801204265456849,0.189823966622691,"수원시"
"81",-0.672552329114159,-0.121832675247002,0.891641875123589,"순창군"
"82",0.00383610183643243,-0.0248740575040344,0.273234476740448,"순천시"
"83",1.55806252222371,-0.86021755671601,0.0828666005962746,"시흥시"
"84",-0.740763020386406,-0.118930454051979,0.427003981269251,"신안군"
"85",0.248131961724864,-0.107568368023557,0.0271133564988832,"아산시"
"86",-0.269484689945805,-0.287457436032099,0.422714309391874,"안동시"
"87",1.79040940568806,0.0869307672106283,0.352223546493177,"안산시"
"88",0.073278239261679,-0.160647504836786,-0.424999701860405,"안성시"
"89",0.64549710525275,-0.810288165575992,0.359387679474642,"안양시"
