,위도,경도,주소
123,36.91665547,127.2022187,"섶머리1길, 입장면, 서북구, 천안시, 충청남도, 31054, 대한민국"
124,36.94881355,127.19691889,"연곡길, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
125,36.95478797,127.18607575,"연곡길, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
126,36.92149462,127.12276741,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
127,36.92381631,127.11897741,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
128,36.9257942,127.1120326,"삼사로, 성환읍, 서북구, 천안시, 충청남도, 31008, 대한민국"
129,36.9256904,127.1119714,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31000, 대한민국"
130,36.92652779,127.11754706,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
131,36.92953195,127.11702939,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
132,36.93665425,127.11664813,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
133,36.94206623,127.11828148,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
134,36.94768716,127.11909015,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
135,36.94797129,127.11920241,"복모2길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
136,36.95015298,127.11554408,"성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
137,36.9502912,127.1156744,"성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
138,36.95704461,127.10546408,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
139,36.95693833,127.10525111,"와우1길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
140,36.95777627,127.10248241,"와우1길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
141,36.95795143,127.10230978,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
142,36.91729105,127.13273868,"성환초등학교, 37, 성환12길, 성환읍, 서북구, 천안시, 충청남도, 31015, 대한민국"
143,36.91765545,127.12786019,"성신초등학교, 성환1로, 성환읍, 서북구, 천안시, 충청남도, 31014, 대한민국"
144,36.91718145,127.12806818,"성환1로, 성환읍, 서북구, 천안시, 충청남도, 31014, 대한민국"
145,36.91571532,127.12797942,"성환1로, 성환읍, 서북구, 천안시, 충청남도, 31014, 대한민국"
146,36.91246987,127.13091126,"한국통신, 성환2로, 성환읍, 서북구, 천안시, 충청남도, 31017, 대한민국"
