정류장번호,정류장명,위도,경도,도시코드,도시명,주소
CAB285000073,연곡1리,36.95478797,127.18607575,34010,천안시,"연곡길, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
CAB285000077,성환8리,36.92149462,127.12276741,34010,천안시,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
CAB285000078,송덕,36.92381631,127.11897741,34010,천안시,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
CAB285000079,국립축산과학원입구,36.9257942,127.1120326,34010,천안시,"삼사로, 성환읍, 서북구, 천안시, 충청남도, 31008, 대한민국"
CAB285000080,국립축산과학원입구,36.9256904,127.1119714,34010,천안시,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31000, 대한민국"
CAB285000082,기린빌라,36.92652779,127.11754706,34010,천안시,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
CAB285000083,우신1리(경로당),36.92953195,127.11702939,34010,천안시,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
CAB285000084,우신1리,36.93665425,127.11664813,34010,천안시,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
CAB285000085,어룡리,36.94206623,127.11828148,34010,천안시,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
CAB285000086,복모리,36.94768716,127.11909015,34010,천안시,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
CAB285000087,복모리,36.94797129,127.11920241,34010,천안시,"복모2길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
CAB285000088,신가1리(신흥),36.95015298,127.11554408,34010,천안시,"성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
CAB285000089,신가초등학교,36.9502912,127.1156744,34010,천안시,"성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
CAB285000090,와룡2리(농촌),36.95704461,127.10546408,34010,천안시,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
CAB285000091,와룡2리,36.95693833,127.10525111,34010,천안시,"와우1길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
CAB285000092,와룡3리(북농촌),36.95777627,127.10248241,34010,천안시,"와우1길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
CAB285000093,와룡종점,36.95795143,127.10230978,34010,천안시,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31001, 대한민국"
CAB285000095,성환터미널,36.91729105,127.13273868,34010,천안시,"성환초등학교, 37, 성환12길, 성환읍, 서북구, 천안시, 충청남도, 31015, 대한민국"
CAB285000096,성신초등학교,36.91765545,127.12786019,34010,천안시,"성신초등학교, 성환1로, 성환읍, 서북구, 천안시, 충청남도, 31014, 대한민국"
CAB285000097,성신초등학교,36.91718145,127.12806818,34010,천안시,"성환1로, 성환읍, 서북구, 천안시, 충청남도, 31014, 대한민국"
CAB285000098,성환역,36.91571532,127.12797942,34010,천안시,"성환1로, 성환읍, 서북구, 천안시, 충청남도, 31014, 대한민국"
CAB285000099,삼풍아파트,36.91246987,127.13091126,34010,천안시,"한국통신, 성환2로, 성환읍, 서북구, 천안시, 충청남도, 31017, 대한민국"
CAB285000100,매주4리(삼천리앞),36.91104545,127.12539193,34010,천안시,"매주4리, 연암율금로, 성환읍, 서북구, 천안시, 충청남도, 31017, 대한민국"
CAB285000101,율금교,36.9072541,127.1181568,34010,천안시,"율금교, 율금7길, 성환읍, 서북구, 천안시, 충청남도, 31019, 대한민국"
CAB285000102,율금교,36.9073104,127.1179859,34010,천안시,"연암율금로, 성환읍, 서북구, 천안시, 충청남도, 31009, 대한민국"
CAB285000103,율금리,36.9054039,127.1146526,34010,천안시,"성환읍, 서북구, 천안시, 충청남도, 31009, 대한민국"
CAB285000104,율금리,36.9054246,127.114667,34010,천안시,"성환읍, 서북구, 천안시, 충청남도, 31009, 대한민국"
CAB285000105,대명아파트,36.89635579,127.10295501,34010,천안시,"연암율금로, 직산읍, 서북구, 천안시, 충청남도, 31414, 대한민국"
CAB285000106,석곡리,36.89234131,127.09598741,34010,천안시,"율금1길, 성환읍, 서북구, 천안시, 충청남도, 31009, 대한민국"
CAB285000107,석곡리(돌실),36.88882664,127.0909807,34010,천안시,"연암율금로, 직산읍, 서북구, 천안시, 충청남도, 31414, 대한민국"
CAB285000108,석곡리(돌실),36.88887799,127.09073889,34010,천안시,"연암율금로, 직산읍, 서북구, 천안시, 충청남도, 31414, 대한민국"
CAB285000120,한라아파트,36.82160531,127.08648912,34010,천안시,"탕정면로, 동산리, 아산시, 충청남도, 31458, 대한민국"
CAB285000122,동덕초등학교,36.8193662,127.0841963,34010,천안시,"탕정면로, 동산리, 아산시, 충청남도, 31458, 대한민국"
CAB285000142,성월1리,36.9208455,127.1366208,34010,천안시,"성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000143,성월1리,36.9207647,127.1367054,34010,천안시,"성월수향길, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000144,학정리,36.9334592,127.1448536,34010,천안시,"성월수향길, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000145,학정리,36.9333874,127.144955,34010,천안시,"성월수향길, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000149,산동2리,36.8332041,127.0974296,34010,천안시,"산동안길, 산동리, 아산시, 충청남도, 31458, 대한민국"
CAB285000151,불당대원아파트,36.80478071,127.1167191,34010,천안시,"불당대원A, 봉서산로, 불당동, 쌍용3동, 서북구, 천안시, 충청남도, 31164, 대한민국"
CAB285000165,쌍용동일하이빌,36.7848047,127.1132825,34010,천안시,"쌍용동일하이빌, 충무로, 동남구, 천안시, 충청남도, 31472, 대한민국"
CAB285000169,남관2리,36.7558392,127.11771319,34010,천안시,"잔다리길, 동남구, 천안시, 충청남도, 31474, 대한민국"
CAB285000170,남관리(농협),36.7535792,127.1273185,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31207, 대한민국"
CAB285000171,남관리,36.7552164,127.12744058,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31207, 대한민국"
CAB285000172,동양철관,36.7590163,127.12797741,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31207, 대한민국"
CAB285000173,통세골,36.7680182,127.1319861,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31207, 대한민국"
CAB285000174,통세골,36.7681009,127.1324855,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31207, 대한민국"
CAB285000175,가송3리,36.72990463,127.14414407,34010,천안시,"송정1길, 동남구, 천안시, 충청남도, 31216, 대한민국"
CAB285000176,가송2리,36.73481962,127.14359407,34010,천안시,"송정2길, 동남구, 천안시, 충청남도, 31216, 대한민국"
CAB285000177,가송리,36.7351712,127.1435414,34010,천안시,"가송교, 동남구, 천안시, 충청남도, 31215, 대한민국"
CAB285000178,두남리,36.74163127,127.1391224,34010,천안시,"미죽로, 동남구, 천안시, 충청남도, 31215, 대한민국"
CAB285000179,두남리,36.74551628,127.13519741,34010,천안시,"미죽로, 동남구, 천안시, 충청남도, 31215, 대한민국"
CAB285000180,용정리,36.7450786,127.1260031,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000181,용정리,36.74278464,127.12584241,34010,천안시,"용두3길, 동남구, 천안시, 충청남도, 31216, 대한민국"
CAB285000182,용정리,36.74234925,127.12555675,34010,천안시,"용두3길, 동남구, 천안시, 충청남도, 31216, 대한민국"
CAB285000183,보성1리,36.73401969,127.12303036,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000184,보성1리,36.73402222,127.1228429,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000185,용정2리(대정),36.73928792,127.11270284,34010,천안시,"141-1, 태학산로, 동남구, 천안시, 충청남도, 31214, 대한민국"
CAB285000186,용정1리,36.74539246,127.10033544,34010,천안시,"태학산로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000187,학계마을,36.74004798,127.09265574,34010,천안시,"태학산로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000188,학계마을,36.7394652,127.09204298,34010,천안시,"태학산1길, 동남구, 천안시, 충청남도, 31214, 대한민국"
CAB285000189,원당,36.73697797,127.08950908,34010,천안시,"태학산로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000190,삼태리(종점),36.73625855,127.08426487,34010,천안시,"태학산로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000191,삼부연립,36.7281249,127.12043235,34010,천안시,"155, 풍세로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000192,보성리,36.72772154,127.11965838,34010,천안시,"23, 풍세2길, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000194,풍세면복지회관,36.7210613,127.12009109,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000195,풍세면행정복지센터,36.7227206,127.1198651,34010,천안시,"풍세로, 동남구, 천안시, 충청남도, 31217, 대한민국"
CAB285000196,광풍중학교,36.71443687,127.11754318,34010,천안시,"광풍로, 동남구, 천안시, 충청남도, 31221, 대한민국"
CAB285000197,매당3리,36.71064748,127.11431478,34010,천안시,"광풍로, 동남구, 천안시, 충청남도, 31221, 대한민국"
CAB285000198,매당3리,36.70927628,127.11344408,34010,천안시,"광풍로, 동남구, 천안시, 충청남도, 31221, 대한민국"
CAB285000199,대덕1리,36.69567818,127.09288317,34010,천안시,"광풍로, 동남구, 천안시, 충청남도, 31221, 대한민국"
CAB285000200,보산원4리,36.68834465,127.08538407,34010,천안시,"광풍로, 동남구, 천안시, 충청남도, 31221, 대한민국"
CAB285000201,보산원1리,36.69081295,127.07479408,34010,천안시,"보산원로, 동남구, 천안시, 충청남도, 31499, 대한민국"
CAB285000202,보산원1리,36.690949,127.0748715,34010,천안시,"보산원로, 동남구, 천안시, 충청남도, 31499, 대한민국"
CAB285000203,매당4리,36.70667397,127.1107491,34010,천안시,"광풍로, 동남구, 천안시, 충청남도, 31221, 대한민국"
CAB285000204,보산원3리,36.69765633,127.07172241,34010,천안시,"보산원로, 동남구, 천안시, 충청남도, 31499, 대한민국"
CAB285000205,보산원,36.7021942,127.0708744,34010,천안시,"안넙티길, 동남구, 천안시, 충청남도, 31499, 대한민국"
